,hmean,smean,vmean,hmax,smax,vmax
1595,37.81656,24.094126666666668,15.111806666666666,200,140,108
1596,26.54618,15.34744,9.747973333333332,200,186,121
1597,37.77115333333333,23.9987,15.060686666666667,200,156,105
1598,27.148086666666668,14.900506666666667,9.16392,200,135,100
1599,27.148086666666668,14.900506666666667,9.16392,200,135,100
1600,20.924773333333334,10.316793333333333,6.41196,200,169,102
1601,19.689193333333332,9.900373333333333,5.957333333333334,200,160,93
1602,19.184493333333332,8.924826666666666,5.519753333333333,200,164,96
1603,19.27316666666667,6.1677333333333335,4.35458,200,135,85
1604,22.865966666666665,12.96346,8.558986666666666,200,165,121
1605,22.03417333333333,12.501386666666667,8.327313333333333,200,162,121
1606,22.460926666666666,12.7155,8.449033333333333,200,161,121
1607,22.913313333333335,11.524193333333333,7.146966666666667,200,154,121
1608,23.03122,12.8585,8.55118,200,165,121
1609,22.200066666666668,12.34764,8.147913333333333,200,162,121
1610,20.11162,10.596193333333334,7.04524,200,156,121
1611,19.185346666666668,10.064753333333334,6.5343,200,129,100
1612,20.037226666666665,10.427026666666666,7.01436,200,156,121
1613,19.612626666666667,10.101626666666666,6.74014,200,156,121
1614,19.288186666666668,9.75878,6.510486666666667,200,155,121
1615,19.93118,10.13906,6.8258133333333335,200,155,121
1616,18.377286666666667,8.82888,5.938353333333334,200,154,121
1617,18.377286666666667,8.82888,5.938353333333334,200,154,121
1618,43.13802666666667,26.681506666666667,17.286313333333332,200,146,121
1619,18.757193333333333,7.371013333333333,5.107246666666667,200,156,121
1620,7.798933333333333,2.12452,1.8214866666666667,200,134,70
1621,54.92760666666667,32.18012,21.252813333333332,200,137,120
1622,48.11985333333333,28.86268,18.35089333333333,200,143,121
1623,48.11985333333333,28.86268,18.35089333333333,200,143,121
1624,59.49594666666667,35.18218,22.933486666666667,200,134,120
1625,40.86584,26.4264,16.94464,200,149,121
1626,46.15459333333333,28.25034,18.34836,200,140,113
1627,38.672293333333336,24.068406666666668,14.99412,200,139,119
1628,38.672293333333336,24.068406666666668,14.99412,200,139,119
1629,42.504826666666666,26.90368,17.50120666666667,200,144,109
1630,47.52808,30.54146666666667,20.096786666666667,200,149,121
